"SOURCE_SYSTEM"|"DATA_KEY"|"DATA_ACTION"|"ACTION_DATE"|"ELR_ID"|"TRACK_ID"|"START_YARDAGE"|"END_YARDAGE"|"WORK_ORDER_NO"|"WORK_ORDER_DESC"|"WORK_GROUP"|"STD_JOB_CODE"|"REQD_FINISH_DATE"|"PROTECTION_TYPE"|"PROTECTION_METHOD"|"WORK_ORDER_STATUS"|"SCHEDULE_FREQUENCY"|"TOLERANCE_DESC"|"PLAN_STR_DATE"
"ELLIPSE"|"10210528"|"I"|"20-JUL-2020"|"BAK"|"3400"|4599|4599|"10210528"|"RELAY - PLUG-IN - RENEW"|"FCSIRVW"|"003146"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"16482326"|"I"|"20-JUL-2020"|"BRI2"|"2300"|183480|183480|"16482326"|"Track - Remove Scrap Sleeper"|"CDCBARH"|"009237"|"20230718"|""|""|"A"||""|"        "
"ELLIPSE"|"23970775"|"I"|"20-JUL-2020"|"BHL"|"1100"|100320|100320|"23970775"|"TRACK - REMOVE SCRAP RAILS"|"JFCNBYB"|"009089"|"20201022"|""|""|"A"||""|"20251231"
"ELLIPSE"|"10210072"|"I"|"20-JUL-2020"|"GSW"|"2100"|75991|75991|"10210072"|"S&T - MOVE MATERIALS"|"FCSIRVW"|"003779"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210073"|"I"|"20-JUL-2020"|"GSW"|"2100"|75991|75991|"10210073"|"CABLE - 2 CORE - RE-TERMINATE"|"FCSIRVW"|"004283"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210074"|"I"|"20-JUL-2020"|"GSW"|"2100"|75991|75991|"10210074"|"REMOVE REDUNDANT CABLE"|"FCSIRVW"|"004275"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"29503633"|"I"|"20-JUL-2020"|"WEY"|"2100"|212190|212190|"29503633"|"TRACK - REMOVE SCRAP RAILS"|"JFCWBYB"|"009089"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"39513295"|"I"|"20-JUL-2020"|"SWM2"|"1406"|300322|300366|"39513295"|"S & C - CHANGE TIMBER BEARER"|"JBCCDFO"|"009132"|"20200816"|""|""|"A"||""|"        "
"ELLIPSE"|"12751624"|"I"|"20-JUL-2020"|"ECM1"|"2100"|54890|54890|"12751624"|"TRACK - PL - ADJUST SLEEPER SPACE/SQUARE"|"CBCHITC"|"009111"|"20990101"|""|""|"A"||""|"        "
"ELLIPSE"|"13544665"|"I"|"20-JUL-2020"|"SGN"|"2100"|4343|4343|"13544665"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544667"|"I"|"20-JUL-2020"|"SGN"|"2100"|4407|4407|"13544667"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544669"|"I"|"20-JUL-2020"|"NEM2"|"2100"|3483|3483|"13544669"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544672"|"I"|"20-JUL-2020"|"NEM2"|"1100"|1340|1340|"13544672"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544673"|"I"|"20-JUL-2020"|"NEM2"|"1100"|1368|1368|"13544673"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544674"|"I"|"20-JUL-2020"|"NEM5"|"1100"|12752|12752|"13544674"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544677"|"I"|"20-JUL-2020"|"NEM5"|"1100"|14293|14293|"13544677"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544678"|"I"|"20-JUL-2020"|"NEM5"|"2100"|14483|14483|"13544678"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544679"|"I"|"20-JUL-2020"|"NEM5"|"1100"|15805|15805|"13544679"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544680"|"I"|"20-JUL-2020"|"NEM5"|"2100"|16005|16005|"13544680"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544682"|"I"|"20-JUL-2020"|"NEM5"|"1100"|16470|16470|"13544682"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544683"|"I"|"20-JUL-2020"|"NEM5"|"1100"|17313|17313|"13544683"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"13544684"|"I"|"20-JUL-2020"|"NEM5"|"2100"|17454|17454|"13544684"|"SIGNAL - PAINT SIGNAL POST"|"FBSYOKZ"|"001091"|"20250101"|""|""|"A"||""|"20250101"
